timestamp,worker,reqid,qname,qtype,respid,rcode,respflags,err,duration
2025/05/21 00:45:35,0,5674,googleusercontent.com.,A,5674,NOERROR,qr rd ra,<nil>,1.217050532s
2025/05/21 00:45:35,0,34540,facebook.com.,A,34540,NOERROR,qr rd ra,<nil>,105.260935ms
2025/05/21 00:45:35,0,16024,instagram.com.,A,16024,NOERROR,qr rd ra,<nil>,375.09921ms
2025/05/21 00:45:35,0,35411,wikipedia.org.,A,35411,NOERROR,qr rd ra,<nil>,80.440326ms
2025/05/21 00:45:36,0,21642,x.com.,A,21642,NOERROR,qr rd ra,<nil>,79.486236ms
2025/05/21 00:45:36,0,62247,amazon.com.,A,62247,NOERROR,qr rd ra,<nil>,365.193699ms
2025/05/21 00:45:36,0,30780,tiktok.com.,A,30780,NOERROR,qr rd ra,<nil>,83.010583ms
2025/05/21 00:45:36,0,19863,whatsapp.com.,A,19863,NOERROR,qr rd ra,<nil>,96.771201ms
2025/05/21 00:45:37,0,61994,yahoo.com.,A,61994,NOERROR,qr rd ra,<nil>,851.744931ms
2025/05/21 00:45:37,0,36624,google.com.,A,36624,NOERROR,qr rd ra,<nil>,90.648941ms
2025/05/21 00:45:37,0,45911,googleusercontent.com.,A,45911,NOERROR,qr rd ra,<nil>,320.743026ms
2025/05/21 00:45:37,0,51110,facebook.com.,A,51110,NOERROR,qr rd ra,<nil>,79.782122ms
2025/05/21 00:45:38,0,3606,instagram.com.,A,3606,NOERROR,qr rd ra,<nil>,82.460775ms
2025/05/21 00:45:38,0,48117,wikipedia.org.,A,48117,NOERROR,qr rd ra,<nil>,88.288951ms
2025/05/21 00:45:38,0,39580,x.com.,A,39580,NOERROR,qr rd ra,<nil>,84.928064ms
2025/05/21 00:45:38,0,36261,amazon.com.,A,36261,NOERROR,qr rd ra,<nil>,92.819613ms
2025/05/21 00:45:38,0,33646,tiktok.com.,A,33646,NOERROR,qr rd ra,<nil>,321.421646ms
2025/05/21 00:45:38,0,14584,whatsapp.com.,A,14584,NOERROR,qr rd ra,<nil>,98.543283ms
